Entity,Year,CO2_Emissions
Turkey,2000,3.47027994
Turkey,2001,3.120552503
Turkey,2002,3.241916577
Turkey,2003,3.386052516
Turkey,2004,3.438657254
Turkey,2005,3.549305818
Turkey,2008,4.21561191
Turkey,2009,4.183302631
Turkey,2010,4.267659619
Turkey,2011,4.482810993
Turkey,2012,4.577613759
Turkey,2013,4.384122346
Turkey,2014,4.604101139
Turkey,2015,4.702266072
Turkey,2016,4.934894769
Turkey,2017,5.393643979
Turkey,2018,5.268730271
Turkey,2019,5.008961068
Turkey,2020,5.070409816
Yemen,2000,0.802287346
Yemen,2001,0.829100075
Yemen,2002,0.807080902
Yemen,2003,0.910447191
Yemen,2004,0.92507108
Yemen,2005,0.966288629
Yemen,2008,1.005338456
Yemen,2009,1.065816652
Yemen,2010,0.984657208
Yemen,2011,0.833853674
Yemen,2012,0.773794512
Yemen,2013,0.982040294
Yemen,2014,0.938063592
Yemen,2015,0.457351862
Yemen,2016,0.331022352
Yemen,2017,0.314049887
Yemen,2018,0.356586038
Yemen,2019,0.355001429
Yemen,2020,0.318360139
